"5-Elvitigala","79.877082-6.909195-80","12:00:00#13:00:00","810"
"5-Elvitigala","79.877082-6.909195-80","13:00:00#14:00:00","846"
"5-Elvitigala","79.877082-6.909195-80","14:00:00#15:00:00","719"
"5-Elvitigala","79.877082-6.909195-80","15:00:00#16:00:00","633"
"5-Elvitigala","79.877082-6.909195-80","16:00:00#17:00:00","1"
"5-Elvitigala","79.877082-6.909195-80","17:00:00#18:00:00","0"
"5-Elvitigala","79.877082-6.909195-80","18:00:00#19:00:00","0"
"5-Elvitigala","79.877082-6.909195-80","19:00:00#20:00:00","0"
"5-Elvitigala","79.877082-6.909195-80","20:00:00#21:00:00","0"
"5-Elvitigala","79.877082-6.909195-80","21:00:00#22:00:00","0"
"5-Elvitigala","79.877082-6.909195-80","22:00:00#23:00:00","0"
"5-Elvitigala","79.877082-6.909195-80","23:00:00#00:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","00:00:00#07:00:00","473"
"3-Ward-Place","79.877032-6.915083-210","07:00:00#08:00:00","1444"
"3-Ward-Place","79.877032-6.915083-210","08:00:00#09:00:00","1918"
"3-Ward-Place","79.877032-6.915083-210","09:00:00#10:00:00","2109"
"3-Ward-Place","79.877032-6.915083-210","10:00:00#11:00:00","2290"
"3-Ward-Place","79.877032-6.915083-210","11:00:00#12:00:00","2475"
"3-Ward-Place","79.877032-6.915083-210","12:00:00#13:00:00","2640"
"3-Ward-Place","79.877032-6.915083-210","13:00:00#14:00:00","2584"
"3-Ward-Place","79.877032-6.915083-210","14:00:00#15:00:00","2523"
"3-Ward-Place","79.877032-6.915083-210","15:00:00#16:00:00","1734"
"3-Ward-Place","79.877032-6.915083-210","16:00:00#17:00:00","21"
"3-Ward-Place","79.877032-6.915083-210","17:00:00#18:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","18:00:00#19:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","19:00:00#20:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","20:00:00#21:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","21:00:00#22:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","22:00:00#23:00:00","0"
"3-Ward-Place","79.877032-6.915083-210","23:00:00#00:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","00:00:00#07:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","07:00:00#08:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","08:00:00#09:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","09:00:00#10:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","10:00:00#11:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","11:00:00#12:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","12:00:00#13:00:00","0"
"1-Danister-De-Silva","79.877032-6.915083-85","13:00:00#14:00:00","0"
