,,,,,Road,,,,Tower,,TimeZone,,,,,,,Mobile Count
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:30:00#16:00:00,193,,0,0,1,,0,,1,0,0,1,1,,0.043467337,0.043467337
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:00:00#06:30:00,134,,0,0,1,,1,,0,0,0,0,0,,0.028643216,0.028643216
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:30:00#07:00:00,512,,0,0,1,,1,,0,0,0,0,1,,0.12361809,0.12361809
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:00:00#07:30:00,952,,0,0,1,,1,,0,0,0,1,0,,0.234170854,0.234170854
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:30:00#08:00:00,1095,,0,0,1,,1,,0,0,0,1,1,,0.270100503,0.270100503
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:00:00#08:30:00,1834,,0,0,1,,1,,0,0,1,0,0,,0.455778894,0.455778894
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:30:00#09:00:00,2134,,0,0,1,,1,,0,0,1,0,1,,0.531155779,0.531155779
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,09:00:00#09:30:00,2117,,0,0,1,,1,,0,0,1,1,0,,0.526884422,0.526884422
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,09:30:00#10:00:00,2148,,0,0,1,,1,,0,0,1,1,1,,0.534673367,0.534673367
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,10:00:00#10:30:00,2292,,0,0,1,,1,,0,1,0,0,0,,0.570854271,0.570854271
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,10:30:00#11:00:00,1862,,0,0,1,,1,,0,1,0,0,1,,0.46281407,0.46281407
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,11:00:00#11:30:00,1968,,0,0,1,,1,,0,1,0,1,0,,0.489447236,0.489447236
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,11:30:00#12:00:00,1988,,0,0,1,,1,,0,1,0,1,1,,0.494472362,0.494472362
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,12:00:00#12:30:00,1964,,0,0,1,,1,,0,1,1,0,0,,0.488442211,0.488442211
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,12:30:00#13:00:00,2064,,0,0,1,,1,,0,1,1,0,1,,0.513567839,0.513567839
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,13:00:00#13:30:00,2047,,0,0,1,,1,,0,1,1,1,0,,0.509296482,0.509296482
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,13:30:00#14:00:00,1980,,0,0,1,,1,,0,1,1,1,1,,0.492462312,0.492462312
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,14:00:00#14:30:00,1779,,0,0,1,,1,,1,0,0,0,0,,0.441959799,0.441959799
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,14:30:00#15:00:00,2296,,0,0,1,,1,,1,0,0,0,1,,0.571859296,0.571859296
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,15:00:00#15:30:00,1983,,0,0,1,,1,,1,0,0,1,0,,0.49321608,0.49321608
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,15:30:00#16:00:00,1395,,0,0,1,,1,,1,0,0,1,1,,0.345477387,0.345477387
5-Elvitigala,79.877082-6.909195-80,06:00:00#06:30:00,60,,0,1,0,,0,,0,0,0,0,0,,0.010050251,0.010050251
5-Elvitigala,79.877082-6.909195-80,06:30:00#07:00:00,172,,0,1,0,,0,,0,0,0,0,1,,0.038190955,0.038190955
5-Elvitigala,79.877082-6.909195-80,07:00:00#07:30:00,340,,0,1,0,,0,,0,0,0,1,0,,0.08040201,0.08040201
5-Elvitigala,79.877082-6.909195-80,07:30:00#08:00:00,636,,0,1,0,,0,,0,0,0,1,1,,0.154773869,0.154773869
5-Elvitigala,79.877082-6.909195-80,08:00:00#08:30:00,939,,0,1,0,,0,,0,0,1,0,0,,0.230904523,0.230904523
5-Elvitigala,79.877082-6.909195-80,08:30:00#09:00:00,976,,0,1,0,,0,,0,0,1,0,1,,0.240201005,0.240201005
5-Elvitigala,79.877082-6.909195-80,09:00:00#09:30:00,1001,,0,1,0,,0,,0,0,1,1,0,,0.246482412,0.246482412
5-Elvitigala,79.877082-6.909195-80,09:30:00#10:00:00,1017,,0,1,0,,0,,0,0,1,1,1,,0.250502513,0.250502513
5-Elvitigala,79.877082-6.909195-80,10:00:00#10:30:00,1113,,0,1,0,,0,,0,1,0,0,0,,0.274623116,0.274623116
5-Elvitigala,79.877082-6.909195-80,10:30:00#11:00:00,1176,,0,1,0,,0,,0,1,0,0,1,,0.290452261,0.290452261
5-Elvitigala,79.877082-6.909195-80,11:00:00#11:30:00,1149,,0,1,0,,0,,0,1,0,1,0,,0.283668342,0.283668342
5-Elvitigala,79.877082-6.909195-80,11:30:00#12:00:00,1080,,0,1,0,,0,,0,1,0,1,1,,0.266331658,0.266331658
5-Elvitigala,79.877082-6.909195-80,12:00:00#12:30:00,1144,,0,1,0,,0,,0,1,1,0,0,,0.28241206,0.28241206
5-Elvitigala,79.877082-6.909195-80,12:30:00#13:00:00,1384,,0,1,0,,0,,0,1,1,0,1,,0.342713568,0.342713568
5-Elvitigala,79.877082-6.909195-80,13:00:00#13:30:00,1293,,0,1,0,,0,,0,1,1,1,0,,0.319849246,0.319849246
5-Elvitigala,79.877082-6.909195-80,13:30:00#14:00:00,1153,,0,1,0,,0,,0,1,1,1,1,,0.284673367,0.284673367
5-Elvitigala,79.877082-6.909195-80,14:00:00#14:30:00,1116,,0,1,0,,0,,1,0,0,0,0,,0.275376884,0.275376884
