,,,,,Road,,,,Tower,,TimeZone,,,,,,,,CCTV,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,08:00:00#08:30:00,0,,0,0,1,,0,,0,0,1,0,0,,-0.005025126,,,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,08:30:00#09:00:00,0,,0,0,1,,0,,0,0,1,0,1,,-0.005025126,,,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,09:00:00#09:30:00,0,,0,0,1,,0,,0,0,1,1,0,,-0.005025126,,,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,09:30:00#10:00:00,0,,0,0,1,,0,,0,0,1,1,1,,-0.005025126,,,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,10:00:00#10:30:00,110,,0,0,1,,0,,0,1,0,0,0,,0.022613065,,3,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,10:30:00#11:00:00,428,,0,0,1,,0,,0,1,0,0,1,,0.102512563,,3,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,11:00:00#11:30:00,371,,0,0,1,,0,,0,1,0,1,0,,0.088190955,,3,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,11:30:00#12:00:00,465,,0,0,1,,0,,0,1,0,1,1,,0.111809045,,2,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,12:00:00#12:30:00,491,,0,0,1,,0,,0,1,1,0,0,,0.118341709,,3,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,12:30:00#13:00:00,460,,0,0,1,,0,,0,1,1,0,1,,0.110552764,,2,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,13:00:00#13:30:00,563,,0,0,1,,0,,0,1,1,1,0,,0.136432161,,3,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,13:30:00#14:00:00,488,,0,0,1,,0,,0,1,1,1,1,,0.11758794,,2,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,14:00:00#14:30:00,436,,0,0,1,,0,,1,0,0,0,0,,0.104522613,,2,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,14:30:00#15:00:00,332,,0,0,1,,0,,1,0,0,0,1,,0.07839196,,2,
