,,,,,Road,,,,Tower,,TimeZone,,,,,,
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,14:30:00#15:00:00,332,,0,0,1,,0,,1,0,0,0,1,,0.07839196
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:00:00#15:30:00,246,,0,0,1,,0,,1,0,0,1,0,,0.05678392
2-Gnanadasa-Predeepa-NW,79.877032-6.915083-330,15:30:00#16:00:00,193,,0,0,1,,0,,1,0,0,1,1,,0.043467337
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:00:00#06:30:00,114,,0,0,1,,1,,0,0,0,0,0,,0.02361809
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,06:30:00#07:00:00,455,,0,0,1,,1,,0,0,0,0,1,,0.109296482
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:00:00#07:30:00,829,,0,0,1,,1,,0,0,0,1,0,,0.203266332
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,07:30:00#08:00:00,895,,0,0,1,,1,,0,0,0,1,1,,0.219849246
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:00:00#08:30:00,1592,,0,0,1,,1,,0,0,1,0,0,,0.394974874
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,08:30:00#09:00:00,1822,,0,0,1,,1,,0,0,1,0,1,,0.452763819
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,09:00:00#09:30:00,1789,,0,0,1,,1,,0,0,1,1,0,,0.444472362
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,09:30:00#10:00:00,1844,,0,0,1,,1,,0,0,1,1,1,,0.458291457
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,10:00:00#10:30:00,1904,,0,0,1,,1,,0,1,0,0,0,,0.473366834
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,10:30:00#11:00:00,1485,,0,0,1,,1,,0,1,0,0,1,,0.368090452
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,11:00:00#11:30:00,1596,,0,0,1,,1,,0,1,0,1,0,,0.395979899
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,11:30:00#12:00:00,1621,,0,0,1,,1,,0,1,0,1,1,,0.402261307
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,12:00:00#12:30:00,1619,,0,0,1,,1,,0,1,1,0,0,,0.401758794
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,12:30:00#13:00:00,1704,,0,0,1,,1,,0,1,1,0,1,,0.423115578
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,13:00:00#13:30:00,1667,,0,0,1,,1,,0,1,1,1,0,,0.413819095
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,13:30:00#14:00:00,1608,,0,0,1,,1,,0,1,1,1,1,,0.398994975
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,14:00:00#14:30:00,1472,,0,0,1,,1,,1,0,0,0,0,,0.364824121
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,14:30:00#15:00:00,1367,,0,0,1,,1,,1,0,0,0,1,,0.338442211
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,15:00:00#15:30:00,1194,,0,0,1,,1,,1,0,0,1,0,,0.294974874
2-Gnanadasa-Predeepa-NW,79.8765-6.91605-250,15:30:00#16:00:00,832,,0,0,1,,1,,1,0,0,1,1,,0.204020101
5-Elvitigala,79.877082-6.909195-80,06:00:00#06:30:00,51,,0,1,0,,0,,0,0,0,0,0,,0.007788945
5-Elvitigala,79.877082-6.909195-80,06:30:00#07:00:00,121,,0,1,0,,0,,0,0,0,0,1,,0.025376884
5-Elvitigala,79.877082-6.909195-80,07:00:00#07:30:00,262,,0,1,0,,0,,0,0,0,1,0,,0.06080402
5-Elvitigala,79.877082-6.909195-80,07:30:00#08:00:00,513,,0,1,0,,0,,0,0,0,1,1,,0.123869347
5-Elvitigala,79.877082-6.909195-80,08:00:00#08:30:00,671,,0,1,0,,0,,0,0,1,0,0,,0.163567839
5-Elvitigala,79.877082-6.909195-80,08:30:00#09:00:00,620,,0,1,0,,0,,0,0,1,0,1,,0.150753769
5-Elvitigala,79.877082-6.909195-80,09:00:00#09:30:00,673,,0,1,0,,0,,0,0,1,1,0,,0.164070352
5-Elvitigala,79.877082-6.909195-80,09:30:00#10:00:00,726,,0,1,0,,0,,0,0,1,1,1,,0.177386935
5-Elvitigala,79.877082-6.909195-80,10:00:00#10:30:00,821,,0,1,0,,0,,0,1,0,0,0,,0.201256281
5-Elvitigala,79.877082-6.909195-80,10:30:00#11:00:00,788,,0,1,0,,0,,0,1,0,0,1,,0.192964824
5-Elvitigala,79.877082-6.909195-80,11:00:00#11:30:00,815,,0,1,0,,0,,0,1,0,1,0,,0.199748744
5-Elvitigala,79.877082-6.909195-80,11:30:00#12:00:00,779,,0,1,0,,0,,0,1,0,1,1,,0.190703518
5-Elvitigala,79.877082-6.909195-80,12:00:00#12:30:00,813,,0,1,0,,0,,0,1,1,0,0,,0.199246231
5-Elvitigala,79.877082-6.909195-80,12:30:00#13:00:00,920,,0,1,0,,0,,0,1,1,0,1,,0.226130653
5-Elvitigala,79.877082-6.909195-80,13:00:00#13:30:00,890,,0,1,0,,0,,0,1,1,1,0,,0.218592965
5-Elvitigala,79.877082-6.909195-80,13:30:00#14:00:00,868,,0,1,0,,0,,0,1,1,1,1,,0.213065327
5-Elvitigala,79.877082-6.909195-80,14:00:00#14:30:00,834,,0,1,0,,0,,1,0,0,0,0,,0.204522613
5-Elvitigala,79.877082-6.909195-80,14:30:00#15:00:00,710,,0,1,0,,0,,1,0,0,0,1,,0.173366834
5-Elvitigala,79.877082-6.909195-80,15:00:00#15:30:00,639,,0,1,0,,0,,1,0,0,1,0,,0.155527638
5-Elvitigala,79.877082-6.909195-80,15:30:00#16:00:00,448,,0,1,0,,0,,1,0,0,1,1,,0.107537688
3-Ward-Place,79.877032-6.915083-210,06:00:00#06:30:00,0,,0,1,1,,0,,0,0,0,0,0,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,06:30:00#07:00:00,0,,0,1,1,,0,,0,0,0,0,1,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,07:00:00#07:30:00,0,,0,1,1,,0,,0,0,0,1,0,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,07:30:00#08:00:00,0,,0,1,1,,0,,0,0,0,1,1,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,08:00:00#08:30:00,0,,0,1,1,,0,,0,0,1,0,0,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,08:30:00#09:00:00,0,,0,1,1,,0,,0,0,1,0,1,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,09:00:00#09:30:00,0,,0,1,1,,0,,0,0,1,1,0,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,09:30:00#10:00:00,0,,0,1,1,,0,,0,0,1,1,1,,-0.005025126
3-Ward-Place,79.877032-6.915083-210,10:00:00#10:30:00,441,,0,1,1,,0,,0,1,0,0,0,,0.105778894
3-Ward-Place,79.877032-6.915083-210,10:30:00#11:00:00,598,,0,1,1,,0,,0,1,0,0,1,,0.145226131
3-Ward-Place,79.877032-6.915083-210,11:00:00#11:30:00,539,,0,1,1,,0,,0,1,0,1,0,,0.13040201
3-Ward-Place,79.877032-6.915083-210,11:30:00#12:00:00,486,,0,1,1,,0,,0,1,0,1,1,,0.117085427
3-Ward-Place,79.877032-6.915083-210,12:00:00#12:30:00,659,,0,1,1,,0,,0,1,1,0,0,,0.160552764
3-Ward-Place,79.877032-6.915083-210,12:30:00#13:00:00,590,,0,1,1,,0,,0,1,1,0,1,,0.14321608
3-Ward-Place,79.877032-6.915083-210,13:00:00#13:30:00,722,,0,1,1,,0,,0,1,1,1,0,,0.17638191
3-Ward-Place,79.877032-6.915083-210,13:30:00#14:00:00,509,,0,1,1,,0,,0,1,1,1,1,,0.122864322
3-Ward-Place,79.877032-6.915083-210,14:00:00#14:30:00,535,,0,1,1,,0,,1,0,0,0,0,,0.129396985
3-Ward-Place,79.877032-6.915083-210,14:30:00#15:00:00,438,,0,1,1,,0,,1,0,0,0,1,,0.105025126
3-Ward-Place,79.877032-6.915083-210,15:00:00#15:30:00,368,,0,1,1,,0,,1,0,0,1,0,,0.087437186
3-Ward-Place,79.877032-6.915083-210,15:30:00#16:00:00,283,,0,1,1,,0,,1,0,0,1,1,,0.066080402
1-Danister-De-Silva,79.8775-6.91679-85,06:00:00#06:30:00,42,,1,0,0,,0,,0,0,0,0,0,,0.005527638
1-Danister-De-Silva,79.8775-6.91679-85,06:30:00#07:00:00,103,,1,0,0,,0,,0,0,0,0,1,,0.020854271
1-Danister-De-Silva,79.8775-6.91679-85,07:00:00#07:30:00,157,,1,0,0,,0,,0,0,0,1,0,,0.034422111
1-Danister-De-Silva,79.8775-6.91679-85,07:30:00#08:00:00,204,,1,0,0,,0,,0,0,0,1,1,,0.046231156
1-Danister-De-Silva,79.8775-6.91679-85,08:00:00#08:30:00,234,,1,0,0,,0,,0,0,1,0,0,,0.053768844
1-Danister-De-Silva,79.8775-6.91679-85,08:30:00#09:00:00,404,,1,0,0,,0,,0,0,1,0,1,,0.096482412
1-Danister-De-Silva,79.8775-6.91679-85,09:00:00#09:30:00,358,,1,0,0,,0,,0,0,1,1,0,,0.084924623
1-Danister-De-Silva,79.8775-6.91679-85,09:30:00#10:00:00,317,,1,0,0,,0,,0,0,1,1,1,,0.074623116
1-Danister-De-Silva,79.8775-6.91679-85,10:00:00#10:30:00,347,,1,0,0,,0,,0,1,0,0,0,,0.082160804
1-Danister-De-Silva,79.8775-6.91679-85,10:30:00#11:00:00,303,,1,0,0,,0,,0,1,0,0,1,,0.071105528
1-Danister-De-Silva,79.8775-6.91679-85,11:00:00#11:30:00,262,,1,0,0,,0,,0,1,0,1,0,,0.06080402
1-Danister-De-Silva,79.8775-6.91679-85,11:30:00#12:00:00,357,,1,0,0,,0,,0,1,0,1,1,,0.084673367
1-Danister-De-Silva,79.8775-6.91679-85,12:00:00#12:30:00,357,,1,0,0,,0,,0,1,1,0,0,,0.084673367
1-Danister-De-Silva,79.8775-6.91679-85,12:30:00#13:00:00,303,,1,0,0,,0,,0,1,1,0,1,,0.071105528
1-Danister-De-Silva,79.8775-6.91679-85,13:00:00#13:30:00,341,,1,0,0,,0,,0,1,1,1,0,,0.080653266
1-Danister-De-Silva,79.8775-6.91679-85,13:30:00#14:00:00,305,,1,0,0,,0,,0,1,1,1,1,,0.07160804
1-Danister-De-Silva,79.8775-6.91679-85,14:00:00#14:30:00,226,,1,0,0,,0,,1,0,0,0,0,,0.051758794
1-Danister-De-Silva,79.8775-6.91679-85,14:30:00#15:00:00,205,,1,0,0,,0,,1,0,0,0,1,,0.046482412
1-Danister-De-Silva,79.8775-6.91679-85,15:00:00#15:30:00,154,,1,0,0,,0,,1,0,0,1,0,,0.033668342
1-Danister-De-Silva,79.8775-6.91679-85,15:30:00#16:00:00,125,,1,0,0,,0,,1,0,0,1,1,,0.02638191
