06:00:00#06:10:00,0.0108,1
06:10:00#06:20:00,0.068,1
06:20:00#06:30:00,0.0718,1
06:30:00#06:40:00,0.1617,1
06:40:00#06:50:00,0.4033,2
06:50:00#07:00:00,0.4276,2
07:00:00#07:10:00,0.5466,2
07:10:00#07:20:00,0.5624,2
07:20:00#07:30:00,0.487,2
07:30:00#07:40:00,0.6916,2
07:40:00#07:50:00,0.9307,3
07:50:00#08:00:00,0.941,3
08:00:00#08:10:00,0.6944,2
08:10:00#08:20:00,0.6938,2
08:20:00#08:30:00,0.7133,3
08:30:00#08:40:00,0.7321,3
08:40:00#08:50:00,0.9936,3
08:50:00#09:00:00,0.7271,3
09:00:00#09:10:00,0.9655,3
09:10:00#09:20:00,0.6324,2
09:20:00#09:30:00,0.5574,2
09:30:00#09:40:00,0.277,1
09:40:00#09:50:00,0.4734,2
09:50:00#10:00:00,0.3909,2
10:00:00#10:10:00,0.4024,2
10:10:00#10:20:00,0.6557,2
10:20:00#10:30:00,0.5043,2
10:30:00#10:40:00,0.5798,2
10:40:00#10:50:00,0.6695,2
10:50:00#11:00:00,0.6892,2
11:00:00#11:10:00,0.7027,3
11:10:00#11:20:00,0.701,3
11:20:00#11:30:00,0.5639,2
11:30:00#11:40:00,0.6407,2
11:40:00#11:50:00,0.4172,2
11:50:00#12:00:00,0.6061,2
12:00:00#12:10:00,0.5922,2
12:10:00#12:20:00,0.6032,2
12:20:00#12:30:00,0.6362,2
12:30:00#12:40:00,0.6704,2
12:40:00#12:50:00,0.611,2
12:50:00#13:00:00,0.7054,3
13:00:00#13:10:00,0.4207,2
13:10:00#13:20:00,0.7024,3
13:20:00#13:30:00,0.7056,3
13:30:00#13:40:00,0.7101,3
13:40:00#13:50:00,0.7103,3
13:50:00#14:00:00,0.7125,3
14:00:00#14:10:00,0.9222,3
14:10:00#14:20:00,0.624,2
14:20:00#14:30:00,0.7416,3
14:30:00#14:40:00,0.4969,2
14:40:00#14:50:00,0.5288,2
14:50:00#15:00:00,0.6007,3
15:00:00#15:10:00,0.6604,3
15:10:00#15:20:00,0.6643,2
15:20:00#15:30:00,0.6346,2
15:30:00#15:40:00,0.6609,2
15:40:00#15:50:00,0.5264,2
15:50:00#16:00:00,0.6322,2
