06:00:00#06:10:00,0.0421,1
06:10:00#06:20:00,0.0528,1
06:20:00#06:30:00,0.1341,1
06:30:00#06:40:00,0.1369,2
06:40:00#06:50:00,0.4039,2
06:50:00#07:00:00,0.4064,2
07:00:00#07:10:00,0.5711,2
07:10:00#07:20:00,0.4808,2
07:20:00#07:30:00,0.5574,2
07:30:00#07:40:00,0.4472,2
07:40:00#07:50:00,0.5891,3
07:50:00#08:00:00,0.6769,3
08:00:00#08:10:00,0.6667,3
08:10:00#08:20:00,0.7548,3
08:20:00#08:30:00,0.7549,3
08:30:00#08:40:00,0.7844,3
08:40:00#08:50:00,0.685,2
08:50:00#09:00:00,0.5644,2
09:00:00#09:10:00,0.4697,2
09:10:00#09:20:00,0.3539,3
09:20:00#09:30:00,0.6197,2
09:30:00#09:40:00,0.4566,2
09:40:00#09:50:00,0.4053,3
09:50:00#10:00:00,0.3555,2
10:00:00#10:10:00,0.3773,2
10:10:00#10:20:00,0.4754,2
10:20:00#10:30:00,0.3801,2
10:30:00#10:40:00,0.3424,2
10:40:00#10:50:00,0.4231,2
10:50:00#11:00:00,0.3651,2
11:00:00#11:10:00,0.4689,2
11:10:00#11:20:00,0.3959,2
11:20:00#11:30:00,0.2658,2
11:30:00#11:40:00,0.3815,2
11:40:00#11:50:00,0.4935,2
11:50:00#12:00:00,0.5953,3
12:00:00#12:10:00,0.5725,2
12:10:00#12:20:00,0.5674,3
12:20:00#12:30:00,0.6788,2
12:30:00#12:40:00,0.5266,3
12:40:00#12:50:00,0.6538,2
12:50:00#13:00:00,0.4969,4
13:00:00#13:10:00,0.6326,3
13:10:00#13:20:00,0.6958,3
13:20:00#13:30:00,0.7535,3
13:30:00#13:40:00,0.723,3
13:40:00#13:50:00,0.7968,3
13:50:00#14:00:00,0.767,3
14:00:00#14:10:00,0.6568,2
14:10:00#14:20:00,0.5068,2
14:20:00#14:30:00,0.487,2
14:30:00#14:40:00,0.4697,3
14:40:00#14:50:00,0.5347,2
14:50:00#15:00:00,0.5458,2
15:00:00#15:10:00,0.4231,2
15:10:00#15:20:00,0.3401,3
15:20:00#15:30:00,0.4112,3
15:30:00#15:40:00,0.3952,2
15:40:00#15:50:00,0.3487,2
15:50:00#16:00:00,0.3012,2
