4-Gnanadasa-Predeepa-EW,11,06:00:00#06:10:00,1
4-Gnanadasa-Predeepa-EW,11,06:10:00#06:20:00,2
4-Gnanadasa-Predeepa-EW,11,06:20:00#06:30:00,2
4-Gnanadasa-Predeepa-EW,11,06:30:00#06:40:00,2
4-Gnanadasa-Predeepa-EW,11,06:40:00#06:50:00,2
4-Gnanadasa-Predeepa-EW,11,06:50:00#07:00:00,2
4-Gnanadasa-Predeepa-EW,11,07:00:00#07:10:00,2
4-Gnanadasa-Predeepa-EW,11,07:10:00#07:20:00,2
4-Gnanadasa-Predeepa-EW,11,07:20:00#07:30:00,3
4-Gnanadasa-Predeepa-EW,11,07:30:00#07:40:00,3
4-Gnanadasa-Predeepa-EW,11,07:40:00#07:50:00,2
4-Gnanadasa-Predeepa-EW,11,07:50:00#08:00:00,3
4-Gnanadasa-Predeepa-EW,11,08:00:00#08:10:00,3
4-Gnanadasa-Predeepa-EW,11,08:10:00#08:20:00,3
4-Gnanadasa-Predeepa-EW,11,08:20:00#08:30:00,3
4-Gnanadasa-Predeepa-EW,11,08:30:00#08:40:00,3
4-Gnanadasa-Predeepa-EW,11,08:40:00#08:50:00,3
4-Gnanadasa-Predeepa-EW,11,08:50:00#09:00:00,3
4-Gnanadasa-Predeepa-EW,11,09:00:00#09:10:00,2
4-Gnanadasa-Predeepa-EW,11,09:10:00#09:20:00,2
4-Gnanadasa-Predeepa-EW,11,09:20:00#09:30:00,2
4-Gnanadasa-Predeepa-EW,11,09:30:00#09:40:00,2
4-Gnanadasa-Predeepa-EW,11,09:40:00#09:50:00,2
4-Gnanadasa-Predeepa-EW,11,09:50:00#10:00:00,2
4-Gnanadasa-Predeepa-EW,11,10:00:00#10:10:00,2
4-Gnanadasa-Predeepa-EW,11,10:10:00#10:20:00,2
4-Gnanadasa-Predeepa-EW,11,10:20:00#10:30:00,2
4-Gnanadasa-Predeepa-EW,11,10:30:00#10:40:00,2
4-Gnanadasa-Predeepa-EW,11,10:40:00#10:50:00,3
4-Gnanadasa-Predeepa-EW,11,10:50:00#11:00:00,3
4-Gnanadasa-Predeepa-EW,11,11:00:00#11:10:00,2
4-Gnanadasa-Predeepa-EW,11,11:10:00#11:20:00,2
4-Gnanadasa-Predeepa-EW,11,11:20:00#11:30:00,2
4-Gnanadasa-Predeepa-EW,11,11:30:00#11:40:00,2
4-Gnanadasa-Predeepa-EW,11,11:40:00#11:50:00,3
4-Gnanadasa-Predeepa-EW,11,11:50:00#12:00:00,3
